RespondentID,1. HC >< FC,2. HC >< GCG,3. HC >< RM,4. HC >< BP,5. HC >< IDN,6. HC >< GC,7. HC >< IT,8. HC >< DBM,9. HC >< OA,10. FC >< GCG,11. FC >< RM,12. FC >< BP,13. FC >< IDN,14. FC >< GC,15. FC >< IT,16. FC >< DBM,17. FC >< OA,18. GCG >< RM,19. GCG >< BP,20. GCG >< IDN,21. GCG >< GC,22. GCG >< IT,23. GCG >< DBM,24. GCG >< OA,25. RM >< BP,26. RM >< IDN,27. RM >< GC,28. RM >< IT,29. RM >< DBM,30. RM >< OA,31. BP >< IDN,32. BP >< GC,33. BP >< IT,34. BP >< DBM,35. BP >< OA,36. IDN >< GC,37. IDN >< IT,38. IDN >< DBM,39. IDN >< OA,40. GC >< IT,41. GC >< DBM,42. GC >< OA,43. IT >< DBM,44. IT >< OA,45. DBM >< OA,1. HC,FC,GCG,RM,BP,IDN,GC,IT,DBM,OA,1. Kinerja Laba,2. Kinerja NPL,3. Kinerja CAR/ Liquiditas
96,5,9,7,9,5,5,5,5,7,9,7,5,3,3,3,3,7,7,5,3,3,3,5,5,9,7,7,7,5,5,5,3,3,5,5,3,3,3,3,5,5,5,9,7,9,7,7,5,7,7,7,7,7,7,3,7,5,7
97,0.1429,0.1429,0.2,0.2,0.2,0.3333,0.2,0.2,0.2,3,3,5,5,7,3,3,3,3,5,3,5,1,3,3,3,3,5,1,3,3,1,0.3333,0.3333,1,1,3,3,3,3,0.3333,1,1,5,5,3,1,7,3,5,3,5,5,5,5,1,5,5,5
98,3,5,3,3,3,3,5,5,3,5,5,5,7,5,5,7,7,5,5,5,5,7,5,5,5,5,7,5,5,7,5,3,5,5,5,7,7,5,5,5,5,7,5,5,5,3,5,5,0.3333,0.3333,0.2,3,1,3,3,7,7,7
99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,6,3,4
100,0.3333,3,1,0.2,0.3333,0.3333,0.2,0.2,0.3333,3,3,1,1,1,0.3333,0.3333,0.3333,3,0.2,0.3333,0.3333,0.2,0.2,0.2,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,3,3,5,5,7,7,7,7,6,6
101,1,0.3333,0.2,5,5,3,0.1429,1,0.1429,0.1429,1,5,5,5,0.1429,1,0.2,5,5,5,5,0.1429,1,0.3333,5,5,5,1,1,1,0.3333,1,0.1429,0.3333,0.2,0.3333,0.2,1,0.3333,0.2,1,0.3333,1,1,0.3333,5,5,5,5,1,1,1,7,5,5,5,3,6
102,9,7,0.3333,5,0.2,3,0.3333,0.3333,0.2,3,3,1,0.3333,0.3333,0.3333,0.3333,0.3333,1,3,0.3333,0.3333,0.3333,0.3333,0.3333,5,3,3,1,3,0.3333,0.3333,1,0.3333,0.3333,0.3333,3,3,3,0.3333,0.3333,0.3333,0.3333,5,5,5,5,3,3,5,3,5,5,7,5,3,6,5,5
103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,5,5,5
104,0.3333,3,0.3333,0.3333,0.3333,0.3333,3,3,3,0.3333,0.3333,1,0.3333,0.3333,0.3333,0.3333,0.3333,3,1,1,1,1,1,1,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1,1,3,3,3,3,3,3,3,1,1,1,0.3333,0.3333,0.3333,3,1,0.3333,1,3,1,0.3333,3,1,0.3333,6,6,6
105,1,5,0.3333,0.3333,5,0.3333,3,3,0.3333,3,0.1429,5,5,5,0.2,0.2,5,0.2,5,0.2,0.3333,0.3333,0.3333,0.3333,7,5,5,5,5,5,0.3333,0.3333,0.3333,0.3333,0.3333,5,0.2,0.3333,5,0.3333,0.3333,0.3333,7,7,0.3333,5,3,3,5,3,5,5,5,5,5,5,3,5
106,3,5,3,5,5,7,3,3,5,3,5,5,5,5,7,5,5,5,3,5,7,3,9,5,5,7,5,7,5,7,5,9,9,5,5,5,7,7,5,5,7,5,5,3,9,1,3,0.3333,5,7,5,5,3,0.3333,3,4,4,4
107,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5
108,3,3,0.3333,0.1429,3,0.1429,0.2,0.2,0.2,3,0.3333,0.2,3,0.2,0.2,0.2,3,0.2,0.2,3,3,3,3,1,1,3,3,0.3333,3,3,5,5,3,3,3,0.2,0.2,0.2,0.3333,3,3,3,3,0.3333,0.3333,5,5,7,7,7,7,7,7,7,7,6,5,5
109,1,1,0.3333,5,5,3,1,3,1,0.3333,1,0.3333,3,5,0.3333,0.3333,1,0.3333,0.3333,3,3,1,3,3,3,1,3,1,1,3,5,5,5,5,3,5,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,3,3,3,5,3,3,3,5,1,1,3,3,3,6,4,5
110,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,6,4,6
111,7,5,5,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,5,7,5,5,5,5,7,7,5,5,4,6
112,1,0.3333,3,3,3,1,1,3,0.3333,3,3,3,3,1,0.3333,3,3,3,3,5,0.3333,1,0.3333,0.3333,0.3333,0.3333,1,0.3333,1,1,1,1,0.3333,1,0.3333,1,0.3333,1,3,0.3333,1,1,3,3,1,5,7,5,5,5,3,5,7,5,5,7,5,5
113,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,6,6
